id,price_preview,created_at,city,spec_Etat,model_name,DEDICATED_GPU,CPU,RAM_SIZE,SSD_SIZE,HDD_SIZE,SCREEN_SIZE,SCREEN_FREQUENCY,SCREEN_RESOLUTION,RAM_TYPE,norm_cpu
14039,43500.0,2024 08 11T21:25:15.000Z,ADRAR,,LATITUDE,,INTEL CORE I7 4300 VPRO,8GB,256GB,1TB,14.0,,1920x1080,,i7 4300 vpro
14040,43500.0,2025 07 21T05:42:14.000Z,KHEMIS EL KHECHNA,,LATITUDE,,INTEL CORE I5 8350U,8GB,256GB,,14.0,,1920x1080,DDR4,i5 8350u
14041,43500.0,2025 04 29T09:26:44.000Z,BOUZAREAH,,THINKPAD,,INTEL CORE I5 8250U,8GB,256GB,,14.0,,,,i5 8250u
14042,43500.0,2024 11 10T08:04:10.000Z,TIZI OUZOU,BON TAT,THINKPAD,,INTEL CORE I5 7200U,8GB,256GB,,14.0,,,,i5 7200u
14043,43500.0,2025 07 24T15:15:36.000Z,BIRKHADEM,,MACBOOK,,INTEL CORE I5 1.6GHZ,4GB,128GB,,13.1,,,DDR3,i5 1 6ghz
14044,43500.0,2025 08 10T08:33:08.000Z,DOUERA,BON TAT,LATITUDE,,8TH GEN INTEL CORE I5 8365U,8GB,256GB,,13.0,,1920x1080 FHD,DDR4,8th gen i5 8365u
14045,43500.0,2025 04 28T18:09:01.000Z,BOUZAREAH,,THINKPAD,,8TH GEN INTEL CORE I5 8250U,8GB,256GB,,14.0,,,,8th gen i5 8250u
14046,43500.0,2025 07 24T13:47:22.000Z,BEJAIA,,THINKPAD,,8TH GEN INTEL CORE I5,8GB,256GB,,13.3,,,,8th gen i5
14047,43500.0,2025 08 11T08:49:53.000Z,DOUERA,BON TAT,ELITEBOOK,,7TH GEN INTEL CORE I5 7200U,16GB,256GB,,14.0,,1920x1080,DDR4,7th gen i5 7200u
14048,43500.0,2025 08 09T09:40:30.000Z,DOUERA,BON TAT,LATITUDE,,6TH GEN INTEL CORE I7 6600,16GB,512GB,,14.0,,,DDR4,6th gen i7 6600
14049,43500.0,2025 06 26T23:00:54.000Z,AIN KERMES,,LATITUDE,,6TH GEN INTEL CORE I5 6300U,8GB,256GB,,14.0,2.4Hz,1920x1080 FHD,,6th gen i5 6300u
14050,43500.0,2024 08 29T21:42:29.000Z,,,THINKPAD,,6TH GEN INTEL CORE I5,8GB,256GB,,,,,,6th gen i5
14051,43500.0,2022 11 09T07:52:46.000Z,ALGER CENTRE,BON TAT,ELITEBOOK,AMD RADEON R7 M260,5TH GEN INTEL CORE I5 5200U,4GB,,500GB,14.0,,,,5th gen i5 5200u
14052,43500.0,2025 07 05T05:07:44.000Z,TIPAZA,,MACBOOK,,4TH GEN INTEL CORE I5,6GB,,500GB,13.0,,,,4th gen i5
14053,43000.0,2025 08 07T12:25:58.000Z,EZZOUAR,BON TAT,LATITUDE,,INTEL PENTIUM SILVER N6000,8GB,128GB,,11.0,,1366x768,,pentium silver n6000
14054,43000.0,2025 08 06T08:35:53.000Z,EZZOUAR,JAMAIS UTILIS,LATITUDE,,INTEL PENTIUM SILVER N6000,8GB,128GB,,12.0,,1920x1080,,pentium silver n6000
14055,43000.0,2025 01 14T07:15:18.000Z,AIN NAADJA,JAMAIS UTILIS,IDEAPAD,,INTEL PENTIUM N4020,4GB,256GB,,15.6,,,,pentium n4020
14056,43000.0,2025 04 22T11:51:54.000Z,BIRKHADEM,,PROBOOK,,INTEL PENTIUM GOLD 8805,8GB,256GB,,14.0,,,DDR4,pentium gold 8805
14057,43000.0,2025 08 10T15:12:11.000Z,EZZOUAR,BON TAT,SURFACE,,INTEL PENTIUM 4415Y,8GB,128GB,,10.0,,1920x1080,,pentium 4415y
14058,43000.0,2024 09 15T13:51:38.000Z,KOUBA,,THINKPAD,,INTEL CORE I5 7300U,8GB,256GB,,14.0,,,,i5 7300u
14059,43000.0,2024 09 15T13:51:37.000Z,KOUBA,,THINKPAD,,INTEL CORE I5 7300U,8GB,256GB,,14.0,,,,i5 7300u
14060,43000.0,2021 08 06T21:23:10.000Z,HADJOUT,MOYEN,PROBOOK,,INTEL CORE I5 7200U,8GB,,500GB,15.6,,1920x1080,DDR4,i5 7200u
14061,43000.0,2024 08 17T10:03:39.000Z,EZZOUAR,,SURFACE,,INTEL CORE I5 6300U,8GB,256GB,,12.3,,2736x1834,DDR4,i5 6300u
14062,43000.0,2025 01 14T07:15:31.000Z,AIN NAADJA,BON TAT,,,INTEL CORE I5 6300U,8GB,256GB,,14.0,,,,i5 6300u
14063,43000.0,2024 11 25T22:14:30.000Z,ANNABA,BON TAT,INSPIRON,,INTEL CORE I5 4300U,8GB,,500GB,15.6,,1920x1080,,i5 4300u
14064,43000.0,2025 06 22T01:28:38.000Z,BIRKHADEM,,MACBOOK,,INTEL CORE I5 1.8GHZ,8GB,128GB,,13.1,,,DDR4,i5 1 8ghz
14065,43000.0,2025 06 24T13:28:14.000Z,OUED SMAR,BON TAT,MACBOOK,,INTEL CORE I5 1.3GHZ,4GB,512GB,,13.0,,,,i5 1 3ghz
14066,43000.0,2024 12 25T11:03:50.000Z,BOUMERDES,,MACBOOK,,INTEL CORE I5,4GB,128GB,,13.0,,1920x1080,,i5
14067,43000.0,2024 11 03T05:04:06.000Z,BOUARFA,BON TAT,THINKPAD,,INTEL CORE I3 6006U,4GB,,500GB,15.0,,,,i3 6006u
14068,43000.0,2025 04 30T22:52:08.000Z,BORDJ EL BAHRI,,IDEAPAD,,INTEL CORE I3 6006U,4GB,1TB,,15.6,,,,i3 6006u
