id,price_preview,created_at,city,spec_Etat,model_name,DEDICATED_GPU,CPU,RAM_SIZE,SSD_SIZE,HDD_SIZE,SCREEN_SIZE,SCREEN_FREQUENCY,SCREEN_RESOLUTION,RAM_TYPE,mapped_cpu_name,match_score,cores,cpu_mark,tdp,gpu_name,match_type
8187,92000.0,2025 08 06T10:08:09.000Z,EZZOUAR,BON TAT,LATITUDE,,12TH GEN INTEL CORE I5 1235U,16GB,256GB,,15.0,,,,Intel Core i5-1235U,100.0,2,"12,682",15.0,Intel UHD Graphics,fuzzy
8188,92000.0,2025 01 14T07:15:26.000Z,AIN NAADJA,BON TAT,LATITUDE,,12TH GEN INTEL CORE I5 1235U,8GB,256GB,,14.0,,,DDR4,Intel Core i5-1235U,100.0,2,"12,682",15.0,Intel UHD Graphics,fuzzy
8189,92000.0,2024 10 23T11:32:44.000Z,EZZOUAR,BON TAT,LATITUDE,,12TH GEN INTEL CORE I5 1235U,16GB,256GB,,14.0,,1920x1080,,Intel Core i5-1235U,100.0,2,"12,682",15.0,Intel UHD Graphics,fuzzy
8190,92000.0,2024 08 03T16:45:26.000Z,ALGER CENTRE,,LATITUDE,,12TH GEN INTEL CORE I5 1235U,16GB,256GB,,14.0,,1920x1080 FHD,,Intel Core i5-1235U,100.0,2,"12,682",15.0,Intel UHD Graphics,fuzzy
8191,92000.0,2024 12 14T08:36:15.000Z,EZZOUAR,BON TAT,PROBOOK,,12TH GEN INTEL CORE I5 1235U,16GB,512GB,,14.0,,FHD,,Intel Core i5-1235U,100.0,2,"12,682",15.0,Intel UHD Graphics,fuzzy
8192,92000.0,2025 08 04T17:59:36.000Z,ALGER CENTRE,JAMAIS UTILIS,THINKPAD,,12TH GEN INTEL CORE I5 1235U,16GB,512GB,,14.0,,1920x1080 FHD,DDR4X,Intel Core i5-1235U,100.0,2,"12,682",15.0,Intel UHD Graphics,fuzzy
8193,92000.0,2025 05 01T14:56:16.000Z,ALGER CENTRE,JAMAIS UTILIS,THINKPAD,,12TH GEN INTEL CORE I5 1235U,16GB,256GB,,15.6,,,,Intel Core i5-1235U,100.0,2,"12,682",15.0,Intel UHD Graphics,fuzzy
8194,92000.0,2025 08 11T09:25:16.000Z,EZZOUAR,,SURFACE,,12TH GEN INTEL CORE I5 1235U,16GB,256GB,,12.4,,,,Intel Core i5-1235U,100.0,2,"12,682",15.0,Intel UHD Graphics,fuzzy
8195,92000.0,2024 12 14T08:14:44.000Z,EZZOUAR,BON TAT,THINKPAD,,12TH GEN INTEL CORE I5 1235U,8GB,256GB,,15.0,,,,Intel Core i5-1235U,100.0,2,"12,682",15.0,Intel UHD Graphics,fuzzy
8196,92000.0,2025 07 13T13:18:45.000Z,AZZABA,,PAVILION,,12TH GEN INTEL CORE I5,16GB,512GB,,15.6,,,DDR4,Intel Core i5-1235U,100.0,2,"12,682",15.0,Intel UHD Graphics,generic->common (12TH GEN INTEL CORE I5)
8197,92000.0,2024 12 24T09:48:23.000Z,EZZOUAR,JAMAIS UTILIS,INSPIRON,,12TH GEN INTEL CORE I3 1215U,16GB,256GB,,15.6,120Hz,,,Intel Core i3-1215U,100.0,2,"10,249",15.0,Intel UHD Graphics 730,fuzzy
8198,92000.0,2025 06 11T09:58:28.000Z,AIN NAADJA,JAMAIS UTILIS,VOSTRO,,12TH GEN INTEL CORE I3 1215U,8GB,512GB,,15.6,,1920x1080 FHD,DDR4,Intel Core i3-1215U,100.0,2,"10,249",15.0,Intel UHD Graphics 730,fuzzy
8199,92000.0,2024 11 05T13:08:07.000Z,ALGER CENTRE,JAMAIS UTILIS,IDEAPAD,,12TH GEN INTEL CORE I3 1215U,4GB,256GB,,15.6,,1920x1080,DDR4,Intel Core i3-1215U,100.0,2,"10,249",15.0,Intel UHD Graphics 730,fuzzy
8200,92000.0,2024 10 15T09:56:23.000Z,EZZOUAR,BON TAT,LATITUDE,,11TH GEN INTEL CORE I7 1185G7,16GB,512GB,,14.0,,1920x1080 FHD,,Intel Core i7-1185G7 @ 3.00GHz,69.23076923076923,4,"10,010",15.0,Intel Iris Xe Graphics,fuzzy
8201,92000.0,2024 08 26T09:10:07.000Z,EZZOUAR,BON TAT,LATITUDE,,11TH GEN INTEL CORE I7 1185G7,16GB,512GB,,14.0,,1920x1080 FHD,,Intel Core i7-1185G7 @ 3.00GHz,69.23076923076923,4,"10,010",15.0,Intel Iris Xe Graphics,fuzzy
8202,92000.0,2024 09 22T14:18:31.000Z,EZZOUAR,BON TAT,LATITUDE,,11TH GEN INTEL CORE I7 1185G7,16GB,256GB,,14.0,,,,Intel Core i7-1185G7 @ 3.00GHz,69.23076923076923,4,"10,010",15.0,Intel Iris Xe Graphics,fuzzy
8203,92000.0,2024 10 07T09:29:46.000Z,EZZOUAR,BON TAT,LATITUDE,,11TH GEN INTEL CORE I7 1185G7,16GB,512GB,,14.0,,,,Intel Core i7-1185G7 @ 3.00GHz,69.23076923076923,4,"10,010",15.0,Intel Iris Xe Graphics,fuzzy
8204,92000.0,2024 09 29T10:33:51.000Z,EZZOUAR,BON TAT,LATITUDE,,11TH GEN INTEL CORE I7 1185G7,16GB,512GB,,15.0,,,,Intel Core i7-1185G7 @ 3.00GHz,69.23076923076923,4,"10,010",15.0,Intel Iris Xe Graphics,fuzzy
8205,92000.0,2024 08 21T09:20:43.000Z,EZZOUAR,BON TAT,LATITUDE,,11TH GEN INTEL CORE I7 1185G7,16GB,,,,,,,Intel Core i7-1185G7 @ 3.00GHz,69.23076923076923,4,"10,010",15.0,Intel Iris Xe Graphics,fuzzy
8206,92000.0,2024 09 03T10:37:32.000Z,EZZOUAR,BON TAT,LATITUDE,,11TH GEN INTEL CORE I7 1185G7,16GB,512GB,,14.0,,,,Intel Core i7-1185G7 @ 3.00GHz,69.23076923076923,4,"10,010",15.0,Intel Iris Xe Graphics,fuzzy
