id,price_preview,created_at,city,spec_Etat,model_name,DEDICATED_GPU,CPU,RAM_SIZE,SSD_SIZE,HDD_SIZE,SCREEN_SIZE,SCREEN_FREQUENCY,SCREEN_RESOLUTION,RAM_TYPE,mapped_cpu_name,match_score,cores,cpu_mark,tdp,gpu_name,match_type,gpu_match_score,gpu_g3d_mark,gpu_g2d_mark,gpu_tdp,is_generic_cpu,cpu_generation,cpu_tier,mapped_cpu_tier,inference_level
1371,253000.0,2024 10 17T15:43:40.000Z,BLIDA,JAMAIS UTILIS,MACBOOK,,APPLE M3,8GB,256GB,,13.0,,,,Apple M3 8 Core,100.0,4.0,"19,099",20.0,Apple 19-core GPU,fuzzy_tier_validated,100.0,15000,500,15.0,False,,,,
1372,253000.0,2025 04 28T13:13:49.000Z,EZZOUAR,,,NVIDIA GEFORCE RTX 3070 TI,AMD RYZEN 7 6800H,16GB,1024GB,,,,,,AMD Ryzen 7 6800H,100.0,8.0,"22,874",45.0,GeForce RTX 3070,fuzzy_tier_validated,100.0,"22,150","1,004",220.0,False,,ryzen7,ryzen7,
1373,253000.0,2023 01 14T11:04:17.000Z,DELY BRAHIM,JAMAIS UTILIS,ENVY,NVIDIA GEFORCE RTX 3060,11TH GEN INTEL CORE I7 11800H,16GB,1TB,,15.6,,3840x2160,,Intel Core i7-11800H @ 2.30GHz,69.23076923076923,8.0,"19,776",45.0,GeForce RTX 3060 12GB,fuzzy_tier_validated,100.0,"16,758",966,170.0,False,11,i7,i7,
1374,252000.0,2025 08 11T11:31:28.000Z,EZZOUAR,JAMAIS UTILIS,MACBOOK,,APPLE M4,16GB,256GB,,13.6,,,,Apple M4 10 Core,100.0,4.0,"23,706",22.0,Apple 19-core GPU,fuzzy_tier_validated,100.0,15000,500,15.0,False,,,,
1375,252000.0,2025 03 11T08:47:44.000Z,EZZOUAR,,STEALTH,NVIDIA GEFORCE RTX 4060,13TH GEN INTEL CORE I7 13700H,16GB,1TB,,16.0,165Hz,2K,,Intel Core i7-13700H,100.0,6.0,"26,106",45.0,GeForce RTX 4060,fuzzy_tier_validated,100.0,"19,538","1,040",115.0,False,13,i7,i7,
1376,251999.0,2025 07 30T18:33:57.000Z,DELY BRAHIM,JAMAIS UTILIS,MACBOOK,,APPLE M4,16GB,256GB,,13.5,,,,Apple M4 10 Core,100.0,4.0,"23,706",22.0,Apple 19-core GPU,fuzzy_tier_validated,100.0,15000,500,15.0,False,,,,
1377,250000.0,2025 06 23T13:13:46.000Z,EZZOUAR,JAMAIS UTILIS,THINKPAD,,INTEL ULTRA 7 165U,32GB,1TB,,16.0,,1920x1200,DDR5,Intel Core Ultra 7 165U,100.0,2.0,"16,825",15.0,Intel Arc Graphics,fuzzy_tier_validated,100.0,"5,440",629,75.0,False,,ultra7,ultra7,
1378,250000.0,2025 03 20T14:05:29.000Z,EZZOUAR,JAMAIS UTILIS,,,INTEL CORE ULTRA 9 185H,32GB,2TB,,14.2,120Hz,3120x2080,DDR5,Intel Core Ultra 9 185H,100.0,6.0,"29,315",45.0,Intel Arc Graphics,fuzzy_tier_validated,100.0,"5,440",629,75.0,False,,ultra9,ultra9,
1379,250000.0,2025 06 19T10:42:24.000Z,EZZOUAR,JAMAIS UTILIS,THINKPAD,,INTEL CORE ULTRA 7 165U,32GB,1TB,,14.0,,1920x1200,DDR5,Intel Core Ultra 7 165U,100.0,2.0,"16,825",15.0,Intel Arc Graphics,fuzzy_tier_validated,100.0,"5,440",629,75.0,False,,ultra7,ultra7,
1380,250000.0,2025 05 28T09:01:37.000Z,EZZOUAR,JAMAIS UTILIS,GALAXY,,INTEL CORE ULTRA 7 155H,16GB,512GB,,,,,,Intel Core Ultra 7 155H,100.0,6.0,"24,673",28.0,Intel Arc Graphics,fuzzy_tier_validated,100.0,"5,440",629,75.0,False,,ultra7,ultra7,
