gpu_name,g3d_mark,g2d_mark,tdp(w)
GeForce RTX 5090 Laptop GPU,"28,821","1,091",150.0
GeForce2 Go,4,95,50.0
GeForce2 MX,3,143,50.0
GeForce2 Ti,5,149,50.0
GeForce2 Ultra,6,147,50.0
GeForce3,5,120,50.0
GeForce4 420 Go,3,147,50.0
GeForce4 4200 Go,4,173,50.0
GeForce4 440 Go,4,140,50.0
GeForce4 MX 420,5,168,50.0
GeForce4 MX 440,5,140,50.0
GeForce4 MX 440 with AGP8X,5,157,50.0
GeForce4 MX 460,4,176,50.0
GeForce4 Ti 4600,6,173,75.0
RADEON 9600 PRO,43,163,75.0
RADEON 9700 PRO,54,149,75.0
RADEON 9800 PRO,59,153,75.0
Radeon HD 2400 Pro,114,346,20.0
Radeon HD 2600 PRO,211,337,35.0
Radeon HD 2900 PRO,628,397,200.0
Radeon Pro 5300M,"5,815",559,85.0
Radeon Pro 5500M,"6,733",646,85.0
Radeon Pro 5600M,"9,324",678,50.0
Radeon Pro 5700,"11,457",788,130.0
Radeon Pro 5700 XT,"12,457",800,130.0
Radeon Pro 580X,"7,540",698,150.0
Radeon Pro Duo,"8,299",787,350.0
Radeon Pro Vega 56,"12,061",836,50.0
Radeon Pro W5500,"8,930",817,125.0
Radeon Pro W5500M,"3,470",482,85.0
Radeon Pro W5500X,"7,351",729,50.0
Radeon Pro W5700,"14,155",890,205.0
Radeon PRO W6300,"5,560",667,25.0
Radeon PRO W7500,"13,299","1,174",70.0
Radeon Pro WX 2100,"1,881",384,35.0
Radeon Pro WX 3100,"2,603",414,50.0
Radeon Pro WX 3200,"2,222",379,65.0
Radeon Pro WX 4100,"3,684",640,50.0
Radeon Pro WX 4130,"1,909",347,50.0
Radeon Pro WX 4150,"2,580",367,50.0
Radeon Pro WX 4170,"2,870",316,50.0
Radeon Pro WX 5100,"5,464",779,75.0
Radeon Pro WX 7100,"7,713",784,130.0
Radeon Pro WX 7130,"6,584",444,130.0
Radeon Pro WX 8200,"12,615",730,230.0
Radeon Pro WX 9100,"11,898",748,230.0
Radeon Pro WX Vega M GL,"4,556",328,65.0
Radeon X1600 Pro,99,273,41.0
Radeon X1650 Pro,85,241,44.0
Radeon X1950 Pro,113,318,66.0
RADEON X700 PRO,76,302,75.0
RADEON X800 PRO,65,190,75.0
RADEON X800 PRO/GTO,73,181,75.0
RADEON X850 PRO,73,157,50.0
Intel HD 4400,530,272,50.0
Intel HD 4600,631,312,45.0
Intel UHD Graphics 620,"1,042",237,15.0
Intel Arc A310,"5,440",629,75.0
Intel Arc A310 LP,"4,917",605,45.0
Intel Arc A380,"6,300",624,75.0
Intel Arc A580,"12,063",743,185.0
Intel Arc A750,"12,606",737,225.0
Intel Arc A770,"13,335",759,225.0
Intel Arc A770M,"11,859",726,150.0
Intel Arc B570,"14,114",633,150.0
Intel Arc B580,"15,892",699,190.0
Intel Iris Plus 640,"1,355",334,50.0
Intel Iris Plus 650,"1,596",354,50.0
Intel UHD Graphics 770,1800,350,50
Intel HD Graphics 4600,631,312,45
AMD Radeon R5 Graphics,400,160,25
Intel UHD Graphics P630,1100,280,50
Intel HD Graphics,400,150,25
AMD Radeon 740M,3500,420,28
AMD Radeon HD 8670D,700,190,65
Intel UHD Graphics 600,650,210,10
AMD Radeon HD 7660D,600,180,65
AMD Radeon 660M,3000,400,28
Intel HD Graphics 530,800,250,35
Intel UHD Graphics 610,900,250,35
AMD Radeon 760M,4200,470,28
AMD Radeon R7 Graphics,700,200,35
Intel Iris Plus Graphics,1400,320,15
Intel HD Graphics 4000,400,170,35
AMD Radeon Vega 6 Graphics,900,220,15
AMD Radeon 890M,7500,600,28
AMD Radeon HD 7560D,500,160,65
